MARCHE_ID;NUMERO_LOT;ACHETEURS_NOM;MARCHE_OBJET;NOTIFICATION_DATE;MONTANT;TITULAIRES_DENOMINATION
9F88714B-41D7-47BB-83EF-9EDC2F85837F;None;COMMUNE DE STRASBOURG;TRAVAUX POUR LA CREATION D'UN CENTRE TECHNIQUE DU LIVRE A LA MEDIATHEQUE OLYMPES DE GOUGES  - CONFORMITE ASCENSEUR;2019-10-17;31352.86;ASCENCEURS ET MULTI SERVICES
D21D7E9A-C49B-4F88-AE25-84FA8CE5D6DB;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU  - REVETEMENT DE SOL SOUPLE;2019-10-17;29000.0;LES PEINTURES REUNIES
FB3BB163-A204-48D9-BE54-C8831CEFC47E;None;COMMUNE DE STRASBOURG;RESTRUCTURATION ET EXTENSION DU GROUPE SCOLAIRE DU HOHBERG - GROS OEUVRE DEMOLITION STRUCTURELLE;2019-10-16;1289920.0;L. SCHERBERICH
81A3BA51-E0D6-4A9D-9C74-D9F1DF1EC3F0;None;COMMUNE DE STRASBOURG;RESTRUCTURATION ET EXTENSION DU GROUPE SCOLAIRE DU HOHBERG - INSTALLATIONS ELECTRIQUES;2019-10-16;717052.13;ELECTRIFICATION INDUSTRIELLE DE L'EST
23FFE480-E44F-4572-A128-D82DF2843324;None;COMMUNE DE STRASBOURG;TRAVAUX DE REFECTION DE LA TOITURE DU GROUPE SCOLAIRE DE LA MUSAU - TRAVAUX DE COUVERTURE;2019-10-16;572358.83;PIASENTIN
308247A3-52C5-4807-8909-E8C660AED78D;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU  - GROS OEUVRE AMENAGEMENTS EXTERIEURS RESEAUX;2019-10-16;179800.0;ZWICKERT
5575640A-1ECF-4771-8002-1B630B810E39;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU  - OSSATURE ESCALIER SERRURERIE;2019-10-16;113906.0;SCHAFFNER
4C58F1A1-56C2-43DC-A83E-E44C5E30DABF;None;COMMUNE DE STRASBOURG;TRAVAUX DE REHABILITATION PARTIELLE DU CENTRE SOCIO-CULTUREL CAMILLE CLAUS A STRASBOURG - ELECTRICITE;2019-10-16;34450.0;SCHORO ELECTRICITE
536D91DB-739D-4669-AE6D-104DD675DAD4;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU  - CARRELAGE FAIENCE;2019-10-16;12928.66;COMPTOIR DES REVETEMENTS DE L'EST
27A9C1A8-7980-4B44-846F-7B25208C867A;None;COMMUNE DE STRASBOURG;TRAVAUX DE REHABILITATION PARTIELLE DU CENTRE SOCIO-CULTUREL CAMILLE CLAUS A STRASBOURG - MENUISERIE INTERIEURE BOIS;2019-10-16;8240.14;MENUISERIE ZYTO
7907949F-9975-44D6-A94A-86D22EDCDB35;None;COMMUNE DE STRASBOURG;TRAVAUX DE REHABILITATION PARTIELLE DU CENTRE SOCIO-CULTUREL CAMILLE CLAUS A STRASBOURG - PLATRERIE ISOLATION;2019-10-15;21000.0;OLRY CLOISONS
19-163880;01;COMMUNE DE STRASBOURG;ORGANISATION ET CONDUITE DE PRESTATIONS DE TRANSPORT, D'EMBALLAGE, DE MANUTENTION ET D'IMPLANTATION D'OEUVRES D'ART POUR LE POLE D'ETUDE ET DE CONSERVATION DES MUSEES DE LA VILLE DE STRASBOURG;2019-10-14;292392.0;AXAL ARTRANS
19-156214;NUM_LOT_VIDE;COMMUNE DE STRASBOURG;CETTE CONSULTATION COMPREND DES PRIX MIXTES. - LES PRESTATIONS COURANTES DONT LE LIBELLE EST DONNE DANS LE CCTP FONT L'OBJET D'UN MARCHE ORDINAIRE A PRIX GLOBAL ET FORFAITAIRE ANNUEL - LES PRESTATIONS EXCEPTIONNELLES TELLES QUE DEFINIES DANS LE BORDEREAU DES PRIX UNITAIRES FONT L'OBJET DE BONS DE COMMANDE SANS MONTANT MINIMUM NI MONTANT MAXIMUM. LES BONS DE COMMANDE SERONT NOTIFIES PAR LE POUVOIR ADJUDICATEUR AU FUR ET A MESURE DES BESOINS.;2019-10-14;92176.0;AU PORT UNES
19-163880;03;COMMUNE DE STRASBOURG;ORGANISATION ET CONDUITE DE PRESTATIONS DE TRANSPORT, D'EMBALLAGE, DE MANUTENTION ET D'IMPLANTATION D'OEUVRES D'ART POUR LE POLE D'ETUDE ET DE CONSERVATION DES MUSEES DE LA VILLE DE STRASBOURG;2019-10-14;10254.0;AXAL ARTRANS
19-163880;02;COMMUNE DE STRASBOURG;ORGANISATION ET CONDUITE DE PRESTATIONS DE TRANSPORT, D'EMBALLAGE, DE MANUTENTION ET D'IMPLANTATION D'OEUVRES D'ART POUR LE POLE D'ETUDE ET DE CONSERVATION DES MUSEES DE LA VILLE DE STRASBOURG;2019-10-14;9556.0;AXAL ARTRANS
EDD91B96-7D5A-4BEA-9944-0CD3EF893336;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU - RECONSULTATION DES LOTS 03, 05, 06 ET 14 - CHAUFFAGE VENTILATION CLIMATISATION;2019-10-10;190520.43;EIFFAGE ENERGIE SYSTEMES - LOHNER
3C35A478-8A70-42FC-B820-5F3F1A4D6955;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTRUCTURATION DU BATIMENT DU CENTRE SOCIO CULTUREL ET DU MULTI ACCUEIL DE L'ELSAU - RECONSULTATION DES LOTS 03, 05, 06 ET 14 - CHARPENTE BOIS;2019-10-10;36000.0;PIASENTIN
19-153129;NUM_LOT_VIDE;COMMUNE DE STRASBOURG;CONCEPTION, FOURNITURE, POSE ET ENTRETIEN D'UNE SIGNALETIQUE PATRIMONIALE;2019-10-09;680000.0;JC DECAUX FRANCE
AE419F28-05CC-406B-AE2F-E7C5C0214AFC;None;COMMUNE DE STRASBOURG;INSTALLATION DE BATIMENTS MODULAIRES, POUR DE NOUVELLES CLASSES, A L'ECOLE ELEMENTAIRE DES ROMAINS ,38 RUE DE LA TOUR A STRASBOURG;2019-10-08;576682.89;II VINCI CONCEPTS MODULAIRES
C4DD2EE0-B1CF-47C8-BA5F-BB8642C7B0FA;None;COMMUNE DE STRASBOURG;MISSION DE MAITRISE D'OEUVRE RELATIVE A L'AMENAGEMENT D'UNE MAISON DE SPORT SANTE (MSS) DANS L'AILE MEDICALE DES BAINS MUNICIPAUX A STRASBOURG;2019-10-07;449946.0;MICHEL SPITZ ARCHITECTE
3CED3F92-0590-4653-AF05-883F02C93407;None;COMMUNE DE STRASBOURG;GESTION ETANIMATION DE LA MAISON DU PARC NATUREL URBAIN DE STRASBOURG;2019-10-04;70000.0;LE LABO DES PARTENARIATS
0477BB61-6047-4DED-A0B5-9CDC0624A922;None;COMMUNE DE STRASBOURG;FOURNITURE DE VIDEOPROJECTEURS EN EXTERIEUR POUR ILLUMINATIONS DE BATIMENTS;2019-10-04;None;CONCEPT LIGHT
69CD78C1-9E14-4586-953B-5A00F716B687;None;COMMUNE DE STRASBOURG;MAINTENANCE DES EQUIPEMENTS TECHNIQUES DU MUSEE D'ART MODERNE ET CONTEMPORAIN - PROTECTION CONTRE LA FOUDRE;2019-10-01;525.0;SONOREST
702360DA-ED56-4FCB-9165-3D3650078577;None;COMMUNE DE STRASBOURG;TRAVAUX DE REFECTION DE LA TOITURE DU GROUPE SCOLAIRE DE LA MUSAU - TRAVAUX D'ELECTRICITE (PARATONNERRE);2019-09-30;7991.0;PROTIBAT
C4545C11-2D56-4A52-8D86-D2DEE16F8255;None;COMMUNE DE STRASBOURG;ACQUISITION ET LIVRAISON DE MOQUETTES POUR DIVERSES MANIFESTATIONS SUR LE TERRITOIRE DE L'EUROMETROPOLE DE STRASBOURG;2019-09-30;None;LMS
9E2EE349-2F6E-45F6-B4CF-A99985577CEC;None;COMMUNE DE STRASBOURG;ACQUISITION ET LIVRAISON DE MOQUETTES POUR DIVERSES MANIFESTATIONS SUR LE TERRITOIRE DE LA VILLE DE STRASBOURG;2019-09-30;None;VIF DIFFUSION
A59B24DA-BD93-4A86-8EB9-43227B223DA1;None;COMMUNE DE STRASBOURG;TRAVAUX DE RENOVATION DE L'ECLAIRAGE PUBLIC DES RUES ERCKMANN CHATRIAN ET SCHILLER A STRASBOURG;2019-09-23;76045.5;SOC ELECTRICITE ECLAIRAGE ILLUMINATION
86374B7B-2656-4128-BFF0-EF26D1988E85;None;COMMUNE DE STRASBOURG;PRESTATIONS DE DEMENAGEMENT DANS LE CADRE DES TRAVAUX DE RESTRUCTURATION ET EXTENSION DU GROUPE SCOLAIRE DU HOHBERG A STRASBOURG;2019-09-20;38462.0;RHENUS LOGISTICS ALSACE
415C8AA3-98C9-45BF-B64C-88960AA5A92C;None;COMMUNE DE STRASBOURG;MAINTENANCE DES EQUIPEMENTS TECHNIQUES DU MUSEE D'ART MODERNE ET CONTEMPORAIN - ELECTRICITE COURANT FAIBLE G.TC. VOL VIDEO  ;2019-09-19;130540.0;ELECTRICITE REMOND
1F457083-F636-4959-8205-BE7F24E04DB1;None;COMMUNE DE STRASBOURG;PRESTATIONS DE MAINTENANCE ET D'ENTRETIEN MULTITECHNIQUE DU MAILLON-WACKEN A STRASBOURG;2019-09-18;None;SPIE FACILITIES
17AECEA5-7E4E-4936-ABEC-9F33243B506E;None;COMMUNE DE STRASBOURG;TRAVAUX DE RESTAURATION DE LA COUR CONRATH DANS LES BATIMENTS DE L'HOTEL DE VILLE A STRASBOURG - RESTAURATION DES MENUISERIES COMPLEMENTAIRES - SERRURERIE;2019-09-17;84804.0;NOUYRIT METALLERIE
C9A0753F-70D7-4F6B-A0C9-A40E4FB1AA0A;None;COMMUNE DE STRASBOURG;TRAVAUX DE CHAUFFAGE ET VENTILATION AU STADE DE LA THUR A STRASBOURG;2019-09-13;69000.0;THERMO CONCEPTS
713FBAEC-253E-4355-BD8F-7965C322FB3F;None;COMMUNE DE STRASBOURG;TRAVAUX DE MISE EN SECURITE DU GROUPE SCOLAIRE REUSS A STRASBOURG - MENUSIERIE INTERIEURE BOIS;2019-09-09;376700.31;STUTZMANN AGENCEMENT
DFA8FE0C-66A8-4991-BE23-479D374A081B;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - SERRURERIE METALLERIE;2019-09-06;370000.0;SCHAFFNER
95EE9C0F-C474-4D61-842A-5170315189FF;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - MENUISERIES EXTERIEURES;2019-09-06;119871.0;VOB
237E1C99-0F03-4E59-A46E-D4035A4C3CE8;None;COMMUNE DE STRASBOURG;TRAVAUX DE CONSTRUCTION DU NOUVEAU RESTAURANT DU GROUPE SCOLAIRE DU SCHLUTHFELD A STRASBOURG - DOUBLAGES - CLOISONS - FAUX PLAFONDS;2019-09-06;79000.0;AKPRO
9ED0E204-BCAD-4F5A-8FD9-55AEBEFB1C56;None;COMMUNE DE STRASBOURG;TRAVAUX D'INSTALLATION D'AUTOMATES POUR LE PILOTAGE ET LA GESTION DES EQUIPEMENTS ENERGETIQUES DANS DIVERS BATIMENTS DE LA VILLE DE STRASBOURG   - MEDIATHEQUE NEUDORF;2019-09-05;11623.87;ARCOM AUTOMATION
643B9D4F-2919-4B22-9646-8D10F3675412;None;COMMUNE DE STRASBOURG;TRAVAUX D'INSTALLATION D'AUTOMATES POUR LE PILOTAGE ET LA GESTION DES EQUIPEMENTS ENERGETIQUES DANS DIVERS BATIMENTS DE LA VILLE DE STRASBOURG   - MAISON DE L'ENFANCE WASSELONNE;2019-09-05;4661.78;ARCOM AUTOMATION
C3698A73-EC97-416E-9192-DF751AB4D1C6;None;COMMUNE DE STRASBOURG;CONCEPTION ET REALISATION D'UNE SCENOGRAPHIE ARTISTIQUE DE LA PLACE KLEBER ET MISE EN LUMIERE DU GRAND SAPIN A L'OCCASION DE STRASBOURG CAPITALE DE NOEL 2019 A 2021;2019-09-04;150000.0;SIGMATECH
5638BC45-4C71-409C-87B9-18DA9F18EC55;None;COMMUNE DE STRASBOURG;PRESTATIONS DE SCENOGRAPHIE POUR L'EXPOSITION 'L'OEIL DE HUYSMANS : MANET, DEGAS, MOREAU';2019-09-04;24980.0;CASANOVA*/FREDERIC  /
A6C73DE9-D230-4DB5-B9C2-A81E4E4C53B7;None;COMMUNE DE STRASBOURG;TRAVAUX D'INSTALLATION D'AUTOMATES POUR LE PILOTAGE ET LA GESTION DES EQUIPEMENTS ENERGETIQUES DANS DIVERS BATIMENTS DE LA VILLE DE STRASBOURG   - POLE DE SERVICE HAUTEPIERRE;2019-09-04;18284.9;SANOLEC
2715879C-C875-4003-8C60-AFD52BBA6CD5;None;COMMUNE DE STRASBOURG;TRAVAUX D'INSTALLATION D'AUTOMATES POUR LE PILOTAGE ET LA GESTION DES EQUIPEMENTS ENERGETIQUES DANS DIVERS BATIMENTS DE LA VILLE DE STRASBOURG   - CSC ELSAU;2019-09-04;10341.13;SANOLEC
8F97FF6B-370E-4DF2-ABB9-D602721AA1AF;None;COMMUNE DE STRASBOURG;TRAVAUX D'INSTALLATION D'AUTOMATES POUR LE PILOTAGE ET LA GESTION DES EQUIPEMENTS ENERGETIQUES DANS DIVERS BATIMENTS DE LA VILLE DE STRASBOURG   - GROUPE SCOLAIRE JACQUELINE;2019-09-04;6435.41;SANOLEC
F8A9115B-DBF7-44D4-93A2-86963A7D4199;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - STRUCTURE INSTALLATION DE CHANTIER RENFORCEMENT STRUCTURELS;2019-08-29;120000.0;CONCEPTEURS BATISSEURS ASSEMBLEURS
3CDFC1AC-ECF3-49BF-8BEF-1F1AC5735434;None;COMMUNE DE STRASBOURG;RENOVATION ET MAINTENANCE LOURDE DE LA VILLA MASSOL ;2019-08-28;777777.77;BOUYGUES BATIMENT NORD-EST
0D5D68AE-5441-475F-8526-BB08A56C6889;None;COMMUNE DE STRASBOURG;TRAVAUX DE REAMENAGEMENT DE LA RUE MICHEL-ANGE (DE LA RUE VELASQUEZ A LA RUE DE L'UNTERELSAU) A STRASBOURG-ELSAU (ECLAIRAGE PUBLIC ET AMENAGEMENTS PAYSAGERS) - AMENAGEMENTS PAYSAGERS;2019-08-20;59779.05;IDVERDE
993E9A21-30A3-4918-A254-2DA3BA092B82;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - ASCENSEUR - MONTE-HANDICAPE;2019-08-19;39400.0;ASCENSEUR MONTAGE SYSTEME
B174D5D7-E50D-450C-A196-DD5416826956;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - CARRELAGE - FAIENCE;2019-08-16;4855.0;DIPOL
864CC73E-D3F4-44EB-8680-50D0E401C64A;None;COMMUNE DE STRASBOURG;AMENAGEMENT D'UNE MAISON DE SPORT SANTE (MSS) DANS L'AILE MEDICALE DES BAINS MUNICIPAUX A STRASBOURG , LOTS NDEG 01, CONTROLE TECHNIQUE ET 02 COORDINATION SECURITE PROTECTION SANTE (CSPS) - MISSION DE COORDINATION SPS;2019-08-13;11320.0;SOCOTEC FRANCE
D12002D2-BC0E-41B3-BBC1-059DDAA6FE6C;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - REVETEMENTS MURAUX - PEINTURE;2019-08-12;26399.5;SPS PEINTURES
3FF32D0A-C18B-4ECB-B647-1DA7B978D9F1;None;COMMUNE DE STRASBOURG;RENOVATION DE L'ECLAIRAGE PUBLIC RUE DES CORPS DE GARDE A STRASBOURG NEUHOF;2019-08-08;106826.5;SOC ELECTRICITE ECLAIRAGE ILLUMINATION
0399DD0E-B05C-4F81-BB05-C4CA665A8F40;None;COMMUNE DE STRASBOURG;AMENAGEMENT DE BUREAUX DANS L'IMMEUBLE SITUE 15 RUE DES JUIFS A STRASBOURG - MENUISERIE - AGENCEMENT;2019-08-08;28417.0;REIMEL MICHAEL
71FAD214-C526-486D-8A3F-51798E30762C;None;COMMUNE DE STRASBOURG;TRAVAUX DE REAMENAGEMENT DE LA RUE ARTHUR WEEBER A STRASBOURG MEINAU - TRAVAUX D'ECLAIRAGE ET D'AMENAGEMENTS PAYSAGERS  - AMENAGEMENTS PAYSAGERS;2019-08-07;None;EST PAYSAGES D'ALSACE
